index,CODIGO,CLIENTE,NS,FALLA,OBSERVACIONES,FECHAINGRESO,HORAINGRESO,RECEPCIONADO,TECNICO,INFORMETALLER,FECHATERMINADO,HORATERMINADO,ESTADO,ENTREGADO,FECHA_ENTREGADO,GARANTIA,INGRESO
3731,3601,699,jpxgg12,INTALACION DE LICENCIA DE OFFICE ORIGINAL,C/ELIMINADOR COMPLETO,2019-10-21,13:30:17,2,0,LISTA INSTALADO EL OFFICE ORIGINAL $1875+IVA PARA 6 USUARIOS Y +  $100 DE INSTALACION,2019-10-23,13:29:50,3,S,2019-10-23,,1981.0
3733,3633,825,SIN NUMERO240540,"FORMATEO SIN RESPALDO/PAQUETERIA BASICA OFFICE, ANTIVIRUS",S/CABLES,2019-10-24,15:41:01,2,0,"FORMATEO SIN RESPALDO $350

**SALDO DE $100 DE LA LAP QUE SE LE VENDIO",2019-10-25,17:05:57,3,S,2019-10-25,,450.0
3734,3602,699,PF19YA89,AL ENCENDER SE PONE NEGRA LA PANTALLA / INSTALAR LICENCIA DE OFFICE ORIGINAL,CON ELIMINADOR,2019-10-21,13:33:47,2,0,"SE ESTA REVISANDO EL DISCO DURO, PERO PUEDE NO QUEDAR FUNCIONANDO WINDOWS, LO MEJOR ES FORMATEAR 

FORMATEO CON RESPALDO $480+IVA
ACTIVACION DE LICENCIA DE OFFICE $100+IVA


            ** OVALTECH $1400+IVA 2 AÑOS GARANTIA**",2019-10-23,13:29:31,3,S,2019-10-23,,1982.0
3735,3603,699,541876541000,INSTALACION DE LICENCIA ORIGINAL OFFICE/ ESTA MUY LENTA / REVISION GENERAL/ RECOMENDACIONES,,2019-10-21,13:41:04,2,0,"TRAE MUCHOS PROGRAMAS BASURA Y VIRUS, LO MAS RECOMENDABLE ES RESPALDAR Y FORMATEAR Y SUBIR MEMORIA , SOPORTA 16GB DDR3 1333MHZ TRAE 4GB Y 2 SLOTS

MANTENIMIENTO $200+IVA
FORMATEO Y RESPALDO $430+IVA
ABTIVIRUS LICENCIA KASPERSKY $480+IVA
ACTIVACION DE LICENCIA DE OFFICE $100+IVA",2019-11-04,13:13:45,3,S,2019-10-26,,2568.0
3737,3687,415,20229272,FUNCIONA BIEN SOLO QUE AL PRESIONAR LA TECLA DE MENOS (-) REBOTA LA CINTA SE ACOMODA Y VUELVE A SUCEDERAL PRECIONAR LA MISMA TECLA.,C/ TAPA Y CORTA PEPEL,2019-11-05,13:03:26,2,0,SERVICIO $250+IVA,2019-11-21,16:30:33,3,S,2019-11-21,,250.0
3738,3653,455,br6a4fh461065v,REVISION GENERAL/ SE MOJO,S/CABLES,2019-10-30,11:05:43,2,0,"MANTENIMIENTO $380+IVA

*OJO* IMPRIME EN BLANCO (PEDIR CARTUCHOS) EL CLIENTE LOS TRAE",2019-11-13,17:58:05,3,S,2019-11-13,,380.0
3739,3604,784,66271242987802253,NO ABRE NINGUNA APLICACION,C/ ELIMINADOR Y FUNDA ROJA,2019-10-21,14:21:05,2,0,REESTABLECERLA A VALORES DE FABRICA $150+IVA,2019-10-23,13:01:13,3,S,2019-10-23,,150.0
3740,3622,823,SN123456,INSTALAR COREL DRAWN,,2019-10-23,11:52:47,2,0,$200+IVA,2019-10-23,17:40:41,3,S,2019-10-23,,200.0
3741,3715,106,MXDF125118,LA IMPRESION SALE BORROSA DEL LADO DERECHO. REVISAR CABEZAL DE MATRIZ.,SIN ELIMINADOR,2019-11-09,12:21:24,2,0,"CABEZA IMPRESORA DAÑADA $1,680+IVA",2019-11-29,11:46:10,3,S,2019-11-29,,681.0
3742,3605,199,227186,TARDA EN ENCENDER,,2019-10-21,16:07:42,2,0,"HAY QUE SUBIRLE MEMORIA TRAE 2GB DDR3 1333MHZ SOPORTA 16GB TRAE 2 SLOTS 

**MEMORIA DE 4GB$600+IVA....A
**MANTENIMIENTO$200+IVA....A


**AL PARECER SU MONITOR ESTA FALLANDO",2019-10-21,17:17:48,3,S,2019-10-21,,2160.0
3743,3635,827,06YBB8KH6C00JTK,ARRUGA LAS HOJAS AL IMPRIMIR/ HACE UN RUIDO,S/CABLES,2019-10-24,16:40:46,2,0,"ERROR DE CARTUCHO DE TONER REQUIERE CAMBIO 111S $490 NETO...... EL LO TRAE 

*CAMBIO DE 2 ENGRANES DEL AREA DE SALIDA DE PAPEL $320+IVA........... ACEPTADO.

MANTENIMIENTO PREVENTIVO $380+IVA........ ACEPTADO",2019-10-30,14:15:58,3,S,2019-10-30,,1303.0
3744,3606,51,3B1702X08989,REEMPLAZO DE BATERIA,,2019-10-21,16:30:17,2,0,"2 BATERIAS 12V 7AH Y SERVICIO $460+IVA CADA BATERIA 

TOTAL $920+IVA.",2019-11-04,15:53:51,3,S,2019-11-04,,1401.0
3745,3639,699,18WW1H4T60,CARGAR OFFICE,,2019-10-26,10:18:48,2,0,CARGADO OFFICE 365,2019-10-26,12:55:26,3,S,2019-10-26,,365.0
3746,3716,77,Z4VOBKAB402835K,atora las hojas en a salida y en ocasiones en la entrada,,2019-11-11,09:07:24,2,0,REPARACION DE ELECTRO IMAN Y MANTENIMIENTO $380+IVA,2019-11-12,12:24:42,3,S,2019-11-12,,380.0
3747,3640,699,cnu1200xcv,CARGAR OFFICE,,2019-10-26,10:21:27,2,0,OFFICE 365 CARGADO,2019-10-26,12:54:40,3,S,2019-10-26,,365.0
3749,3637,828,6a152830q,INSTALACION DE PROGRAMA COMPAC,,2019-10-25,16:58:02,2,0,"INST. DE PROGRAMA COMPAC $450+IVA 

FORMATEO Y RESPALDO $480+IVA

TOTAL $930+IVA

**LA CLIENTA VA TRAER SU WINDOWS ORIGINAL PARA QUE SE LO REINSTALEN, NO ESTA BIEN INSTALADO Y NO NOS PERMITE INSTALAR COMPAC.",2019-11-01,16:48:17,3,S,2019-11-01,,1860.0
3750,3641,830,CNF8201Z67,PANTALLA QUEBRADA / COTIZAR,CON ELIMINADOR,2019-10-26,11:47:11,2,0,"PANTALLA QUEBRADA.

**PANTALLA SEMINUEVA $900+IVA EN BUEN ESTADO... ACEPTADO

**TONER 101S $450 NETO",2019-11-13,13:23:37,3,S,2019-11-13,,1451.0
3752,3688,835,21thr09240,MANTENIMIENTO,S/CABLES,2019-11-05,13:12:59,2,0,"*SERVICIO DE MANTENIMIENTO $580+IVA....... ACEPTADO
*CAMBIO DE UNIDAD DE IMAGEN $1550+IVA.......ACEPTADO",2019-11-11,15:58:02,3,S,2019-11-11,,2130.0
3753,3654,455,SIN NUMERO DE SERIE 524654054,REVISION GENERAL,C/ CABLE VGA Y CABLE DE ENERGIA,2019-10-30,11:08:06,2,0,ESTA FUNCIONANDO CORRECTAMENTE MANTENIMIENTO $150+IVA,2019-11-13,17:58:44,3,S,2019-11-13,,150.0
3754,3607,199,S24F522492,TARDA EN ENCENDER,,2019-10-21,17:20:04,2,0,DAÑADO DE LA FUENTE DE ALIMENTACION $450+IVA,2019-10-31,16:47:39,3,S,2019-10-31,,450.0
3756,3717,838,vhkk045055,MARCA CAMBIO DE ALMOHADILLAS,,2019-11-11,09:43:18,2,0,"RESET, CAMBIO DE ALMOHADILLAS Y DESTAPADO DE CABEZAL $580+IVA.",2019-12-09,12:55:01,3,S,2019-12-09,,580.0
3757,3723,111,CNB6H8470X,MANTENIMIENTO,,2019-11-12,09:00:42,2,0,"SERVICIO DE MANTENIMIENTO $560+IVA.
CAMBIO DE GOMAS $190+IVA.",2019-11-20,16:38:05,3,S,2019-11-20,,750.0
3758,3689,33,DFFWYD2,PANTALLA DAÑADA (ANA LORENA),C/ELIMINADOR S/ CABLE DE ENERGIA,2019-11-05,14:47:55,2,0,PANTALLA DAÑADA $1600+IVA,2019-11-13,11:33:53,3,S,2019-11-11,,1600.0
3760,3648,125,vnb3b56902,TRACCION DE PAPEL DE LAS DOS BANDEJAS/CHAROLAS,S/CABLES,2019-10-29,15:01:40,2,0,"CAMBIO DE GOMA $250+IVA

SERVICIO DE MANTENIMIENTO PREVENTIVO $480+IVA",2019-11-08,09:44:08,3,S,2019-11-01,,730.0
3761,3663,33,8CG5450NL5,SE MIRA FEO LA PANTALLA  (GUSTAVO ECOLOGICA),CON ELIMINADOR Y CABLE DE ENERGIA Y USB,2019-11-01,11:48:08,2,0,"PANTALLA DAÑADA $1,460+IVA PARO EL TOUCH PUEDE QUE NO FUNCIONE


**SIN REPARACION",2019-11-07,17:42:33,3,S,2019-11-07,,461.0
3762,3704,724,2340768004193,"SE ABRE UN ROGRAMA  JOP CONTROL Y ANTES DE QUE SE ABRA SE VUELVE A CERRAR Y NO DEJA TRABAJAR, SOLAMENTE PASA CON ESE PROGRAMA",,2019-11-07,10:45:29,2,0,"EL DISCO DURO TENIA ERRORES SE REPARARON $260+IVA.

SI SIGUE DANDO EL PROBLEMA, HABLAR CON EL PROVEEDOR DEL PROGRAMA.",2019-11-07,14:05:46,3,S,2019-11-07,,260.0
3763,3638,829,cng1f30565,REVISAR PIEZA ROTA/ REVISION GENERAL,reparacion ded S/CABLES,2019-10-25,17:14:15,2,0,"REPARACION DE LA PIEZA QUEBRADA $200+IVA 
Y REQUIERE CAMBIO DE TONER LA CLIENTA LO TIENE",2019-10-28,10:07:00,3,S,2019-10-28,,200.0
3764,3664,775,cnb2777996,NO IMPRIME BIEN/ METEN HOJA E IMPRIME CHUECO,S/CABLES,2019-11-01,11:56:16,2,0,"SERVICIO DE MANTENIMIENTO $380+IVA.
CAMBIO DE TONER $280 NETO.
CAMBIO DE GOMA $160 NETO.

TOTAL S/FACT. $820
TOTAL C/FACT. $880.80",2019-11-04,13:59:21,3,S,2019-11-04,,2520.8
3765,3608,820,160606383,PROBLEMAS CON LA LLAVE/ NO  ABRE LA PROGRAMACION,C/2 LLAVES Y ROLLO,2019-10-21,18:03:10,2,0,"LLAVE $240+IVA

SE ENTREGO A JOSRGE ALBERTO SANDOVAL JIMENEZ",2019-10-24,13:17:29,3,S,2019-10-24,,240.0
3768,3666,32,3b1047x16667,PITA Y NO RESPALDA,,2019-11-01,12:50:35,2,0,BATERIA 3.4AH 12V Y SERVICIO $480+IVA,2019-11-06,15:41:53,3,S,2019-11-06,,495.4
3769,3643,831,rc360kkn11102100446,PRENDE Y NO DA VIDEO/ NO DA SEÑAL A LA PANTALLA,S/CABLES,2019-10-28,14:46:02,2,0,"TARJETA DE VIDEO DAÑADA, DA VIDEO BIEN EN EL VGA DE LA TARJETA MADRE.

TRAJETA DE VIDEO $1350+IVA.

SERVICIO $200+IVA EN CASO DE NO REQUERIR LA TARJETA DE VIDEO.",2019-11-07,14:06:11,3,S,2019-11-07,,1550.0
3771,3644,334,8CC9211RPC,CARGAR SISTEMA Y AUTO CAD,,2019-10-28,15:57:43,2,0,"OFFICE $200+IVA
ANTIVIRUS $150
AUTOCAD $200+IVA     TOTAL $550+IVA",2019-10-30,11:16:06,3,S,2019-10-30,,1100.0
3772,3690,33,ETG5812691SLO,REV. GENERAL,,2019-11-05,16:14:18,2,0,"SE REPARO EL BOTON $230+IVA
*PEDRO SE LO LLEVO",2019-11-14,13:22:52,3,S,2019-11-14,,230.0
3773,3718,303,D2N0CJ79484106F,ENCIENDE PERO NO ARRANCA / APARACE LEYENDA DE RESTAURA Y ASI SE QUEDA,C/ELIMINADOR/ C/CABLE DE ENERGIA,2019-11-11,09:58:28,2,0,"DISCO DURO DAÑADO, SE PUEDE RECUPERAR INFORMACION 

**COSTO DE DISCO DURO CON SISTEMA $2,122 NETO

SE LE VENDIO UNA LAPTOP LENOVO $4500+IVA 8GB DE RAM 560 D.D.S

***SE DAÑO DE LA BIOS

**LA DEJO DONADA",2019-12-10,09:08:08,3,S,2019-12-10,,5192.0
3775,3761,562,h8n0cx196527344,"FORMATEAR, PONER ANTIVIRUS, PASAR LA INFORMACION DE LA OTRA",CON ELIMINADOR,2019-11-21,09:22:09,2,0,"SE FORMATEO Y SE LE PUSO INF.DE LA LAP CON ORDEN 3758


$480+IVA  DEJO$250  SALDO $330",2019-11-22,12:42:08,3,S,2019-11-22,,4818.0
3776,3645,334,smp1fpj6a,CARGAR SISTEMA Y AUTO CARD,,2019-10-28,16:01:18,2,0,"OFFICE $200+IVA
ANTIVIRUS $150
AUTOCAD $200+IVA   TOTAL $550+IVA",2019-10-30,11:16:20,3,S,2019-10-30,,1100.0
3777,3741,194,ECT5011975,REVISION GENERAL/SUELTO EL RODILLO,S/CABLES,2019-11-15,09:17:30,2,0,"CAMBIO DE RODILLO DE AVANCE DE PAPEL $840NETO ....N/A

PARA PODER DIAGNOSTICARALA AL 100 PRIMERAMENTE SE NECESITA CAMBIAR ESA PIEZA",2019-11-27,17:05:50,3,S,2019-11-27,,940.0
3778,3691,33,vnb3611180,REVISION GENERAL (RAUL MADRIGAL),S/CABLES,2019-11-05,16:30:45,2,0,"MANTENIMIENTO $350+IVA
GOMA $180+IVA

GOMA PICKUP Y MANT.",2019-11-07,17:52:08,3,S,2019-11-07,,530.0
3781,3805,258,949999027615,si prende no puede entrar a windows,,2019-11-27,11:55:19,2,0,ESCANEO DE WINDOWS $300+IVA,2019-11-27,17:12:02,3,S,2019-11-27,,300.0
3783,3627,243,CB17196309,POSIBLE PROBLEMA CON BISAGRA/ REVISION Y DIAGNOSTICO,C/ELIMINADOR COMPLETO,2019-10-23,17:41:54,2,0,"TRAE LA BISAGRA DAÑADA SON 2 TORNILLO, MANTENIMIENTO, SE RECOMIENDA SUBIR MEMORIA TRAE 2GB DDR3 1333MHZ TRAE UN SOLO SLOT SOPORTA 8GB, TAMBIEN YA TRAE WINDOWS 7 STARTER

MEMORIA 4GB $650+IVA *NO ACEPTADO*
MANTENIMIENTO $250+IVA............. A
BISAGRA $300+IVA ........................ A
FORMATEO C/RESPALDO $480+IVA *NO ACEPTADO*",2019-10-26,12:52:58,3,S,2019-10-26,,3039.0
3784,3655,366,5cd2190vw1,MARCABA PROBLEMAS C/ VENTILADOR LA ABRIERON Y AL CERRAR YA NO PRENDIO,C/ELIMINADOR Y CABLE DE ENERGIA,2019-10-30,14:20:18,2,0,MANTENIMIENTO AL VENTILADOR Y EQUIPO $280+IVA,2019-10-31,09:10:45,3,S,2019-10-31,,280.0
3786,3731,844,75272,NO PRENDE,,2019-11-13,09:44:04,2,0,"TARJETA MADRE DAÑADA, NO TIENE REPARACION CARACTERISTICAS DE SU CPU 160GB DD, DDR2 667HMZ 4DE RAM

SE LE OFRECIO UNO DE EN $2200+ IVA DE 4GB Y PTRO DE $1800+IVA DE 2GB...N/A

**se entrego sin reparacion ",2019-11-27,09:49:36,3,S,2019-11-27,,4839.0
3788,3677,55,16ZY140784,NO PRENDE / REVISION GENERAL,,2019-11-04,11:34:02,2,0,"BATERIA 12V 4.5AH Y SERVICIO $450+IVA.


         **SE REGRESA SIN REPARACION**",2020-03-10,13:42:40,3,S,2020-03-10,,466.5
3790,3657,358,2340681036050,SE APAGA,,2019-10-30,17:12:32,2,0,MANTENIMIENTO PREVENTIVO $250+IVA.,2019-11-04,13:05:35,3,S,2019-11-01,,250.0
3794,3693,33,vnb4l03788,REVISION GENERAL (AUTOLINEAS),S/CABLES,2019-11-05,16:34:25,2,0,"MANTENIMIENTO $350+IVA
GOMA $180+IVA

GOMA PICKUP Y MANT.",2019-11-07,17:52:18,3,S,2019-11-07,,530.0
3796,3719,840,uscb407630,SOLO CAMBIAR LA TAPA DE ENFRENTE QUE ESTA QUEBRADA (DE LA DE HUESO),,2019-11-11,10:19:30,2,0,SE LE CAMBIO LA TAPA (YA VA TENER NUMERO DE SERIE Y MODELO DIFERENTE) SIN MANTENIMIENTO $100,2019-11-11,11:32:58,3,S,2019-11-11,,100.0
3797,3659,197,1440bfgqa00097v,REVISION GENERAL,S/CABLES,2019-10-31,16:37:59,2,0,"MANTENIMIENTO, REPARACION DE SOLENOIDE Y REPARACION DEL SEGURO DE TONER  $480+IVA.........A

CAMBIO DE GOMA Y PAD $380 NETO........A

TOTAL $860 S/FACT",2019-11-30,12:38:40,3,S,2019-11-30,,1720.0
3798,3660,197,MUNF066043,REVISION GENERAL,,2019-10-31,16:37:41,2,0,MANTENIMIENTO $450+IVA......no aceptado,2019-11-30,12:22:34,3,S,2019-11-30,,450.0
3799,3694,33,cnbkr22997,REVISION GENERAL (ECOLOGICA),,2019-11-05,16:37:16,2,0,"GOMA $185+IVA
MANT $350+IVA

TOTAL...$535+IVA",2019-11-07,17:52:29,3,S,2019-11-07,,1070.0
3800,3745,157,qexy052500,"NO IMPRIMEN NADA, ANTERIOR MENTE SOLO IMPRIMIA NEGRO Y HOY YA NO",,2019-11-19,09:09:56,2,0,"*DESTAPADO DE CABEZAL, SI SE LOGRAN DESTAPAR LOS COLORES COSTO $560--------- NO SE PUDO DESTAPAR.

*Y SI  DESTAPA SOLO NEGRO $300+IVA------- ACEPTADO 
AMBOS COSTOS INCLUYE MANTENIMIENTO.

RESTE $150+IVA------ ACEPTADO
CAMBIO DE ALMOHADILLAS $290+IVA-------ACEPTADO

TOTAL $740+IVA",2019-12-23,11:13:33,3,S,2019-12-23,,2040.0
3801,3780,209,wmq1708170702906149,SOLO QUEDA EL FOCO ROJO PRENDIDO PERO NO ENCIENDE,,2019-11-23,10:36:51,2,0,DAÑADA TARJETA PRINCIPAL $2800+IVA.....NO ACEPTADA,2020-01-22,13:57:32,3,S,2019-12-07,,2800.0
3802,3746,562,SIN NUMERO DE SERIE LAP,DISPLAY DAÑADO/ COTIZAR,C/ELIMINADOR Y CABLE DE ENERGIA,2019-11-19,09:35:28,2,0,REPARACION FALSO CONTACTO DEL CONECTOR DE LA PANTALLA $250+IVA,2019-11-19,14:03:46,3,S,2019-11-19,,250.0
3803,3695,143,e8by259445,EN OCASIONAES AL ESTAR IMPRIMIENDO SE ATORA EL CARRO,,2019-11-05,16:38:19,2,0,"TRAE SENSORES SUCIOS CON MANTENIMIENTO POSIBLEMENTE SE SOLUCIONA EL PROBLEMA, SI TUVIERA PROBLEMAS AUN CON EL MANTENIMIENTO SE INFORMARIA QUE MAS REQUIERE LA MAQUINA.

MANTENIMIENTO $580+IVA",2019-11-25,11:32:30,3,S,2019-11-25,,580.0
3804,3696,382,1302750046,MARCA ERROR REVISION COMPLETA,SIN ROLLO NI TAPA DE ENFRENTE,2019-11-05,16:41:05,2,0,"SE NECESITA RIMERAMENTE CAMBIAR EL SINFIN Y EL CARRO DE LA CABEZA IMPRESORA Y DESPUES DE ESTO VER SI LA CABEZA IMPRESORA ESTA IMPRIMIENDO BIEN.

COSTO DE SIN FIN        $1500+IVA
CARRO DE LA CABEZA 

MANTENIMIENTO $480+IVA",2019-11-08,13:10:58,3,S,2019-11-08,,1980.0
3805,3732,731,f7bf232540,"ESTADO DE ERROR, ESTA CORTAND E IMPRIMIENDO MAL",CON ELIMINADOR Y CABLE DE ENERGIA,2019-11-13,10:55:56,2,0,"*NO TRAE CORTADO
**CAMBIAR CINTA (DAÑO LOS ENGRANES DE AVANCE DE CINTA)


*MANTENIMIENTO, AJUSTES Y REPARACION DEL FALSO $480+IVA
*CABLE FLEX $350+IVA
*KIT DE ENGRANES DE AVANCE DE CINTA$350+IVA
*TOTAL $1180+IVA

**SE FACTURO EN $1430+IVA",2019-11-27,10:13:25,3,S,2019-11-27,,3790.0
3806,3668,275,406405402,COTIZAR MEMORIA DE 4GB Y VER QUE DDR LE CORRESPONDE,S/TAPAS C/ 2 MEMORIAS Y 1 D.D,2019-11-01,17:26:09,2,0,MANTENIMIENTO Y MEMORIA RAM $300+IVA,2019-11-07,13:48:17,3,S,2019-11-07,,300.0
3807,3697,697,sg2bt3103n5k,PUERTO USB DAÑADO,,2019-11-05,17:14:07,2,0,"*PUERTO USB Y SERVICIO $450+IVA....A
*CAMBIO DEL CABLE FLEX DE CARRO IMPRESOR ORIGINAL $2388....A

*TRANSPORTE $160+IVA
IDA Y VUELTA",2019-11-11,13:50:11,3,S,2019-11-11,,2998.0
3808,3762,182,3b0823x44779,NO ESTA RESPALDANDO AL PRENDE PITA MUCHO,,2019-11-21,09:31:44,2,0,BATERIA 12V 7AH Y SERVICIIO $480+IVA,2019-11-22,10:05:40,3,S,2019-11-22,,499.0
3809,3705,240,9A118107W,SE ENCIENDO PERO NO DA IMAGEN,S/ELIMINADOR,2019-11-07,11:16:31,2,0,"DAÑADA LA FUENTE DE VIDEO 

REBOLEO $650+IVA


** NO AUTORIZO/SE REGRESA SIN REPRACION**",2019-11-19,11:19:53,3,S,2019-11-15,,650.0
3810,3987,838,vhkk045053,MARCA CAMBIO DE ALMOHADILLA Y NO IMPRIME EL COLOR NEGRO,S/CABLES,2020-01-14,10:09:17,2,0,"CAMBIO DE ALMOHADILLAS $250+IVA----ACEPTADO

RESET $150+IVA---------ACEPTADO

TOTAL $400+IVA",2020-01-14,16:37:48,3,S,2020-01-14,,800.0
3812,3744,836,26-263277,REVISION GENERAL,C/ESFERA Y CINTA,2019-11-15,13:45:56,2,0,AJUSTES Y SERVICIO $480+IVA,2019-11-28,14:15:48,3,S,2019-11-27,,480.0
3814,3726,680,PF0HNG2P,activacion del office,con eliminador,2019-11-12,10:58:00,2,0,activacion del office $150+IVA,2019-11-12,15:44:19,3,S,2019-11-12,,150.0
3816,3710,836,6784-002,NO GOLPEA EL MARTILLO POR LO TANTO NO IMPRIME,,2019-11-08,17:08:43,2,0,"MANTENIMIENTO Y REPARACION DEL MOTOR $400+IVA.
TRANSPORTE $300+IVA X 2 VUELTAS.
CAJA DE 6 CORRECTORES $360 NETOS

TOTAL $1060",2019-11-15,14:08:10,3,S,2019-11-15,,2128.0
3819,3706,38,Z6F2BLBB600247T,REV. GENERAL,,2019-11-07,12:20:02,2,0,"SERVICIO DE MANTENIMIENTO $420+IVA
REPARACION DE ELECTRO IMAN 

CAMBIO DE TONER (104)",2019-11-14,13:32:12,3,S,2019-11-14,,524.0
3820,3720,38,10002814,SE QUEDA ATORADO EL BOTON Y MARCA ERROR,CON ELIMINADOR Y CABLE DE ENERGIA,2019-11-11,12:53:46,2,0,MANTENIMIENTO $480+IVA,2019-11-20,16:35:24,3,S,2019-11-20,,480.0
3821,3782,26,TK1175COMP-S,ATORA LAS HOJAS,,2019-11-23,11:10:33,2,0,"MANTENIMIENTO Y RESTAURACION DE FUSOR $1200+IVA.

(NO SABEMOS CUANTO LE DURE LA REPARACION,SI LE VUELVE A DAR PROBLEMA ES RECOMENDABLE CAMBIAR EL FUSOR)

SIN COSTO
",2019-11-26,16:58:47,3,S,2019-11-26,,1200.0
3823,3679,486,br77rff01t06bn,"ATORA LAS HOJAS, NO TOMA LAS HOJAS, Y CUANDO LA TOMA LA HOJA SE ATORA",,2019-11-04,15:01:35,2,0,"REPARACION DE LA TRACCION DE PAPEL $380+IVA

TRAIA UN OBJETO QUE LA DAÑO 

  ** TENER MAS CUIDADO**",2019-11-08,09:36:55,3,S,2019-11-08,,380.0
3824,3763,848,SIN NUMERO DE SERIE CELULAR,REVISION GENERAL/ NO AGARRA EL TOUCH/ PANTALLA DAÑADA,,2019-11-21,10:14:41,2,0,"PANTALLA $900+IVA

NO AUTORIZADO 

SE REGRESA SIN REPARACION

   ** SIN COSTO**",2019-12-10,09:23:41,3,S,2019-12-10,,900.0
3825,3680,833,PSPN2M-004TM1,REVISAR SI TIENE ALGUN VIRUS / REVISAR LA PAQUETERIA DE OFFICE/ REVISION GENERAL,C/ELIMINADOR Y CABLE DE ENERGIA,2019-11-04,15:08:28,2,0,"KARPESKY 11 MESES $480NETO...A
DISCO DURO CON SISTEMA $1,490 NETO...A


NO TRAE VIRUS, EL DISCO DURO YA ESTA EN RIESGO, SE PUEDE RECUPERAR INFORMACION SE RECOMIENDA KASPERSKY",2019-11-08,12:21:59,3,S,2019-11-08,,982.0
3826,3742,818,30NZM42,FORMATEO SIN RESPALDO,C/ELIMINADOR COMPLETO,2019-11-15,09:48:23,2,0,"FORMATEO SIN RESPALDO $430+IVA

NO SE PUDO PASAR A USB INFORMACION DEL SISTEMA OPERATIVO ORIGINAL",2019-11-15,17:06:40,3,S,2019-11-15,,430.0
3827,3701,50,4b1131p32322,SE RESETA/ PITA SE APAGA Y VUELVE A ENCENDER,,2019-11-06,17:43:54,2,0,CAMBIO DE BATERIA $480+IVA,2019-11-19,13:46:20,3,S,2019-11-19,,480.0
3828,3764,645,cng9cbw019,ATORA LAS HOJAS,,2019-11-21,10:18:48,2,0,"SERVICIO DE MANTENIMIENTO $480+IVA

ROTACION DE GOMA",2019-11-23,10:36:40,3,S,2019-11-23,,480.0
3829,3829,33,SE8Y027854,NO JALA LAS HOJAS,(CORPORATIVO),2019-12-03,10:24:48,2,0,"CAMBIO DE CABLE FLEX $830+IVA

DESTAPADO DE CABEZALES $300+IVA

TOTAL $1130+IVA",2019-12-19,12:50:46,3,S,2019-12-19,,2260.0
3830,3681,104,20602405,MANTENIMIENTO,,2019-11-04,16:40:45,2,0,MANTENIMIENTO $580+IVA,2019-11-20,11:46:32,3,S,2019-11-20,,580.0
3831,3682,104,362al73va098956,ATORA EL PAPEL,C/ROLLO,2019-11-04,16:40:41,2,0,MANTENIMIENTO $250+IVA.,2019-11-20,11:46:50,3,S,2019-11-20,,250.0
3832,3765,26,u52361a5k101981,SE ATORA EL CARRO,"MARGARITA Y CORRECTOR, SINTAPA FRONTAL",2019-11-21,10:41:04,2,0,"REPRACION DE IMPRESOR 
SERVICIO DE MANTEMNIMIENTO 
REPARACION DE TAPA DE LA CINTA

$450+IVA",2019-12-06,11:42:28,3,S,2019-12-06,,450.0
3833,3721,841,SIN NUMERO 123456,PRENDE Y SE APAGA SOLA / ACTULIZAR OFFICE,C/ELIMINADOR Y CABLE DE ENERGIA C/MOCHILA VERDE,2019-11-11,16:01:31,2,0,FORMATEO E INSTALACION DE PROGRAMAS BASICOS $200+IVA,2019-11-13,15:59:34,3,S,2019-11-13,,200.0
3834,3707,26,360AL4YVA097455,REV. GENERAL,CON TAPA Y PORTA ROLLO,1899-12-30,15:46:28,2,0,servicio de mantenimiento $250+iva.,2019-11-26,17:00:19,3,S,2019-11-26,,250.0
3836,3722,51,m2a89 d0r 01370,SE VE VERDE Y NO SE VE LA IMAGEN,,2019-11-11,17:53:04,2,0,DAÑADA LA ALAMPARA $550+IVA,2019-11-25,16:44:11,3,S,2019-11-25,,550.0
3837,3727,842,2655423,SE AGARRA IMPRIMIENDO CONTINUAMENTE Y NO PARA,CON TAPA DE CORTE Y PORTA ROLLO,2019-11-12,13:29:21,2,0,"MANTENIMIENTO, CAMBIO DE GOMAS, TINTA CONDUCTIVA
(CINTA NO HAY) AUN PINTA LA QUE TRAE 

$320+IVA",2019-11-26,15:07:48,3,S,2019-11-26,,320.0
3838,3728,843,vnd3m64018,SACA LAS HOJAS CON MANCHAS,S/CABLES,2019-11-12,13:44:39,2,0,"RODILLO DE PRESION DAÑADO $550 NETO.
FILMINA DAÑADA $350 NETO.
MANTENIMIENTO $380+IVA

TOTAL: $1280 S/FACT",2019-11-20,11:49:36,3,S,2019-11-20,,2560.0
3839,3767,50,u63560d4n839942,NO DETECTA LOS CARTUCHOS DE TONER,,2019-11-21,10:58:30,2,0,"RESET  DE TAMBOR
SERVICIO DE MANTENIMIENTO $480+IVA.",2019-11-22,17:28:47,3,S,2019-11-22,,480.0
3841,3747,800,CNBB097749,HACE RUIDOS EN LOS ENGRANES EN LA PARTE SUPERIOR,,2019-11-19,10:38:18,2,0,"SERVICIO DE MANTENIMIENTO $380+IVA

CAMBIO DE ENGRANES $350+IVA

TOTAL 730+IVA",2019-11-28,13:41:41,3,S,2019-11-28,,1460.0
3843,3748,800,U64049C7H236235,REVISAR CABEZAL DE IMPRESION,C/CABLE INTEGRADO,2019-11-19,10:42:05,2,0,DESTAPADO DE CABEZAL Y MANTENIMIENTO $480+IVA.,2019-11-28,13:41:54,3,S,2019-11-28,,480.0
