ID del Cliente,Edad del Niño,Sexo del Niño,Nivel de Estudios del Padre,Duración de la Subscripción (meses),Plan de Subscripción,Ingresos del Hogar (USD),Gasto Total en Subscripción (USD),Número de Sesiones por Semana,Nivel de Satisfacción del Cliente,Churn,Valor del Tiempo de Vida (LTV)
301,14,Masculino,Undergraduate,16.0,Básico,51211.87,112.0,4.8,4.29,1,1014.64
302,7,Masculino,Undergraduate,21.0,Básico,39784.17,147.0,1.62,3.45,1,868.08
303,6,Masculino,High School,24.0,Premium,64938.08,480.0,9.26,4.63,0,1496.87
304,13,Femenino,High School,15.0,Básico,53824.95,105.0,3.3,3.44,1,733.85
305,6,Femenino,Undergraduate,22.0,Básico,22309.28,220.0,2.49,3.94,0,633.55
306,6,Masculino,Undergraduate,11.0,Básico,63795.55,77.0,2.88,3.75,1,1092.04
307,7,Masculino,Undergraduate,1.0,Básico,52773.02,7.0,5.0,4.28,1,906.18
308,10,Masculino,Undergraduate,21.0,Básico,70860.99,147.0,1.67,3.53,1,1248.62
309,7,Femenino,Undergraduate,12.0,Premium,51858.76,168.0,3.02,5.0,1,927.22
310,12,Masculino,High School,20.0,Básico,38124.36,140.0,2.05,3.53,1,767.36
311,4,Masculino,Undergraduate,13.0,Premium,46935.57,182.0,5.45,4.53,1,1062.0
312,11,Masculino,Graduate,10.0,Básico,62058.79,70.0,1.01,2.74,1,1092.66
313,10,Femenino,Undergraduate,5.0,Básico,38438.94,35.0,2.69,3.66,1,596.49
314,5,Masculino,Undergraduate,9.0,Básico,43395.55,63.0,4.03,2.59,1,757.71
315,11,Masculino,Undergraduate,30.0,Premium,46674.67,600.0,6.33,4.72,0,1576.15
316,4,Masculino,Graduate,1.0,Básico,32759.43,7.0,1.97,3.29,1,658.93
317,14,Femenino,Graduate,2.0,Básico,38655.15,14.0,2.32,2.78,1,582.76
318,15,Masculino,Undergraduate,19.0,Básico,52588.25,133.0,3.9,3.32,1,997.84
319,12,Masculino,Graduate,14.0,Básico,68037.17,98.0,1.97,3.8,1,1278.23
320,12,Femenino,High School,25.0,Premium,54757.2,500.0,7.97,5.0,0,1167.81
321,5,Masculino,High School,15.0,Premium,49312.08,210.0,8.4,5.0,1,1048.43
322,10,Masculino,Graduate,9.0,Básico,37530.94,63.0,2.92,3.74,1,825.27
323,17,Femenino,Graduate,10.0,Básico,66427.41,70.0,3.12,3.67,1,991.23
324,13,Femenino,High School,6.0,Básico,56502.58,42.0,3.9,4.4,1,744.36
325,6,Masculino,High School,17.0,Básico,39399.05,119.0,3.49,3.76,1,771.13
326,10,Femenino,High School,6.0,Básico,63479.73,42.0,1.86,2.64,1,728.05
327,15,Masculino,High School,4.0,Básico,58393.66,28.0,2.47,4.31,1,910.17
328,13,Femenino,Graduate,20.0,Básico,37797.04,140.0,1.54,3.49,1,748.09
329,12,Masculino,Undergraduate,8.0,Premium,48479.33,112.0,6.81,4.62,1,1001.39
330,7,Femenino,Undergraduate,23.0,Básico,42608.41,161.0,3.13,3.0,1,729.71
331,15,Masculino,Undergraduate,30.0,Familiar,89503.07,900.0,6.44,5.0,0,2474.49
332,4,Masculino,High School,18.0,Básico,57976.17,126.0,1.81,3.3,1,958.04
333,5,Masculino,High School,24.0,Básico,52801.43,240.0,1.0,3.99,0,1064.1
334,4,Masculino,Undergraduate,4.0,Básico,57089.95,28.0,1.37,3.1,1,912.26
335,17,Femenino,Graduate,8.0,Básico,70687.44,56.0,3.68,3.32,1,1003.09
336,15,Masculino,Graduate,17.0,Básico,48749.3,119.0,2.27,3.9,1,1058.05
337,8,Femenino,High School,5.0,Básico,41151.36,35.0,2.23,3.91,1,577.77
338,8,Femenino,Graduate,13.0,Básico,62664.25,91.0,1.0,3.28,1,952.41
339,14,Femenino,Graduate,30.0,Premium,47375.83,600.0,5.68,4.98,0,1428.61
340,10,Masculino,Graduate,1.0,Básico,33951.57,7.0,2.62,3.51,1,688.77
341,12,Masculino,Undergraduate,13.0,Básico,31029.7,91.0,2.07,3.53,1,699.2
342,12,Masculino,Undergraduate,4.0,Básico,72939.45,28.0,2.61,4.1,1,1164.78
343,6,Femenino,Undergraduate,27.0,Premium,51974.67,540.0,4.87,4.86,0,1289.67
344,6,Femenino,High School,24.0,Básico,41156.49,168.0,1.59,3.23,1,667.07
345,6,Masculino,High School,19.0,Premium,46484.98,380.0,3.39,4.96,0,1202.36
346,7,Femenino,High School,3.0,Básico,62111.67,21.0,4.27,2.67,1,698.15
347,11,Masculino,Undergraduate,5.0,Básico,45598.92,35.0,2.1,4.45,1,863.08
348,9,Femenino,Graduate,7.0,Básico,28258.7,49.0,2.5,2.65,1,501.09
349,11,Masculino,Undergraduate,1.0,Básico,54887.61,7.0,3.74,3.44,1,880.45
350,4,Masculino,High School,23.0,Básico,68125.22,230.0,5.8,4.14,0,1230.01
351,11,Femenino,Graduate,12.0,Básico,67121.96,84.0,1.49,3.22,1,989.76
352,7,Femenino,Graduate,11.0,Básico,41610.05,77.0,2.92,4.09,1,753.22
353,14,Masculino,Graduate,24.0,Básico,69037.59,168.0,2.23,2.92,1,1325.53
354,4,Masculino,Graduate,8.0,Básico,53194.25,56.0,1.73,3.48,1,1005.5
355,11,Femenino,Undergraduate,30.0,Premium,68617.21,600.0,4.02,4.27,0,1484.73
356,7,Masculino,Graduate,6.0,Básico,58605.31,42.0,1.34,3.42,1,1054.47
357,9,Femenino,High School,22.0,Básico,27176.05,154.0,2.56,3.48,1,539.76
358,11,Femenino,Undergraduate,7.0,Premium,76201.08,98.0,2.89,4.4,1,1069.12
359,7,Masculino,High School,19.0,Básico,50776.76,133.0,3.41,3.41,1,892.27
360,17,Femenino,High School,20.0,Básico,58651.91,140.0,3.19,3.38,1,806.09
361,6,Masculino,High School,20.0,Básico,29839.33,140.0,2.82,3.71,1,686.18
362,17,Femenino,Undergraduate,29.0,Premium,57579.9,580.0,5.0,5.0,0,1391.74
363,12,Femenino,Graduate,19.0,Premium,66543.92,380.0,4.65,4.34,0,1363.53
364,6,Masculino,Undergraduate,6.0,Premium,79029.81,84.0,6.03,4.41,1,1324.49
365,12,Femenino,High School,15.0,Premium,71006.0,210.0,3.45,4.68,1,1038.52
366,16,Masculino,Graduate,21.0,Premium,58313.37,420.0,6.06,4.74,0,1637.3
367,5,Femenino,Undergraduate,4.0,Básico,26834.34,28.0,1.47,3.71,1,477.02
368,17,Femenino,Undergraduate,11.0,Básico,51984.09,77.0,2.24,3.0,1,739.16
369,5,Femenino,Undergraduate,21.0,Premium,41112.36,420.0,1.34,3.46,0,993.84
370,5,Masculino,High School,20.0,Básico,53524.67,140.0,3.67,3.47,1,933.51
371,9,Femenino,Undergraduate,1.0,Básico,31755.11,7.0,1.91,3.0,1,469.78
372,6,Masculino,Graduate,21.0,Premium,46847.5,420.0,7.35,4.89,0,1495.3
373,16,Masculino,High School,19.0,Básico,42242.25,133.0,4.14,3.51,1,803.94
374,12,Masculino,Undergraduate,26.0,Premium,41777.5,520.0,4.27,4.83,0,1426.94
375,7,Femenino,Graduate,27.0,Premium,41926.46,540.0,3.07,4.27,0,1266.49
376,4,Masculino,Graduate,9.0,Básico,47962.18,63.0,4.83,4.04,1,982.95
377,7,Masculino,High School,14.0,Premium,54292.92,196.0,8.33,5.0,1,1087.82
378,4,Masculino,High School,9.0,Básico,20000.0,63.0,2.24,3.54,1,484.25
379,17,Masculino,High School,17.0,Básico,20000.0,119.0,3.39,3.67,1,552.53
380,8,Masculino,Undergraduate,12.0,Básico,44919.63,84.0,1.9,3.64,1,865.13
381,7,Masculino,Undergraduate,13.0,Básico,47033.46,91.0,2.9,3.18,1,871.72
382,11,Femenino,High School,8.0,Básico,52836.67,56.0,2.02,4.1,1,710.56
383,11,Femenino,Graduate,16.0,Básico,39084.91,112.0,1.0,3.08,1,709.49
384,10,Masculino,Undergraduate,18.0,Básico,50141.98,126.0,1.35,2.61,1,917.28
385,6,Masculino,High School,1.0,Básico,51897.85,7.0,2.42,3.58,1,775.38
386,4,Masculino,Undergraduate,1.0,Básico,38981.63,7.0,1.14,2.8,1,649.64
387,4,Masculino,Undergraduate,17.0,Premium,65201.84,238.0,5.3,4.93,1,1375.1
388,15,Femenino,High School,6.0,Básico,52654.79,42.0,1.93,4.49,1,713.74
389,14,Femenino,High School,9.0,Básico,58204.42,63.0,2.15,3.04,1,717.2
390,6,Masculino,Graduate,23.0,Básico,51032.69,230.0,3.25,3.82,0,1229.14
391,9,Femenino,Undergraduate,5.0,Básico,81555.1,35.0,2.85,2.69,1,975.29
392,10,Femenino,Undergraduate,32.0,Premium,58945.96,640.0,4.99,4.8,0,1455.0
393,9,Masculino,Undergraduate,21.0,Premium,42680.1,420.0,7.22,4.55,0,1299.78
394,17,Femenino,High School,18.0,Básico,62314.5,126.0,3.61,3.41,1,827.7
395,17,Masculino,High School,17.0,Básico,25435.93,119.0,4.58,3.37,1,595.79
396,9,Femenino,Undergraduate,18.0,Básico,51794.0,126.0,2.14,3.79,1,825.31
397,9,Masculino,High School,6.0,Premium,54787.4,84.0,5.26,5.0,1,970.06
398,16,Femenino,High School,19.0,Básico,51965.31,133.0,1.77,3.36,1,738.8
399,6,Masculino,Graduate,27.0,Premium,44993.32,540.0,4.96,4.27,0,1588.78
400,9,Femenino,Graduate,8.0,Básico,34815.9,56.0,3.56,4.51,1,679.91
401,11,Femenino,Graduate,3.0,Básico,38159.79,21.0,4.03,3.43,1,620.1
402,14,Femenino,Graduate,5.0,Básico,51531.12,35.0,3.89,2.7,1,740.01
403,14,Masculino,High School,23.0,Básico,33297.21,161.0,1.14,3.46,1,733.51
404,5,Masculino,Graduate,8.0,Básico,76552.51,56.0,3.42,3.13,1,1291.05
405,8,Femenino,High School,19.0,Básico,20000.0,133.0,1.0,3.69,1,465.94
406,17,Masculino,Graduate,18.0,Básico,45148.43,126.0,4.03,3.62,1,1000.92
407,4,Masculino,Graduate,23.0,Premium,51655.84,460.0,4.85,4.85,0,1608.99
408,15,Masculino,Graduate,26.0,Premium,57611.31,520.0,7.55,5.0,0,1776.87
409,4,Femenino,Graduate,1.0,Básico,36261.13,7.0,1.0,2.6,1,539.34
410,8,Masculino,Undergraduate,20.0,Premium,67014.42,400.0,7.56,4.72,0,1580.33
411,15,Femenino,High School,18.0,Básico,29092.53,126.0,1.54,3.27,1,522.35
412,16,Femenino,Undergraduate,34.0,Premium,41508.07,680.0,4.6,5.0,0,1331.63
413,6,Masculino,Undergraduate,7.0,Básico,59311.21,49.0,1.4,2.95,1,955.5
414,7,Femenino,High School,16.0,Básico,65602.83,112.0,1.0,2.9,1,821.85
415,6,Masculino,Undergraduate,16.0,Básico,28939.98,112.0,2.49,3.74,1,711.84
416,4,Masculino,Graduate,26.0,Familiar,89675.55,780.0,10.0,5.0,0,2543.32
417,4,Masculino,High School,6.0,Básico,36537.63,42.0,4.93,4.06,1,671.58
418,15,Masculino,Graduate,9.0,Básico,30317.26,63.0,3.1,2.84,1,671.03
419,15,Femenino,Graduate,12.0,Premium,57540.72,168.0,7.18,5.0,1,1072.88
420,17,Femenino,Graduate,19.0,Premium,44775.6,266.0,6.05,4.22,1,998.57
421,16,Masculino,Graduate,11.0,Básico,42559.22,77.0,3.57,3.55,1,897.87
422,17,Femenino,Undergraduate,21.0,Básico,58934.66,147.0,2.79,3.54,1,904.31
423,8,Femenino,Graduate,16.0,Básico,27090.56,112.0,2.73,4.5,1,656.65
424,9,Femenino,Graduate,6.0,Básico,24467.98,42.0,3.14,2.97,1,469.73
425,6,Femenino,High School,22.0,Básico,41038.65,220.0,1.82,4.36,0,763.38
426,15,Femenino,Undergraduate,16.0,Básico,66168.53,112.0,2.92,3.96,1,962.12
427,12,Femenino,Graduate,20.0,Básico,41689.17,140.0,2.74,3.76,1,804.31
428,8,Masculino,High School,34.0,Premium,73987.35,680.0,7.04,4.49,0,1808.6
429,11,Masculino,Undergraduate,21.0,Premium,68015.22,420.0,4.5,4.79,0,1621.04
430,16,Masculino,Undergraduate,17.0,Premium,54244.19,238.0,6.52,4.53,1,1218.15
431,4,Femenino,High School,17.0,Básico,55095.86,119.0,4.18,4.47,1,804.07
432,17,Femenino,Undergraduate,5.0,Básico,54230.04,35.0,4.3,3.37,1,738.54
433,8,Femenino,Graduate,32.0,Premium,52395.77,640.0,6.82,4.81,0,1516.69
434,6,Masculino,Undergraduate,13.0,Básico,44506.37,91.0,2.42,3.21,1,842.68
435,15,Masculino,High School,13.0,Premium,46247.18,182.0,6.98,4.48,1,955.19
436,4,Femenino,High School,24.0,Básico,33950.6,240.0,3.27,4.02,0,702.66
437,7,Masculino,Undergraduate,5.0,Básico,20000.0,35.0,4.03,4.07,1,530.77
438,16,Femenino,Graduate,17.0,Premium,66561.06,238.0,2.67,4.82,1,1236.05
439,8,Masculino,High School,9.0,Básico,52358.88,63.0,1.22,2.35,1,774.7
440,10,Masculino,Undergraduate,3.0,Básico,50093.17,21.0,3.98,4.33,1,893.34
441,4,Masculino,High School,8.0,Premium,55976.74,112.0,4.98,5.0,1,1013.94
442,6,Masculino,Undergraduate,1.0,Básico,37574.04,7.0,1.73,3.12,1,651.87
443,5,Masculino,Graduate,22.0,Básico,34984.07,154.0,1.08,4.16,1,939.85
444,12,Femenino,Graduate,18.0,Básico,45744.73,126.0,2.24,3.32,1,809.26
445,13,Masculino,High School,24.0,Básico,70521.48,168.0,1.46,2.61,1,1103.9
446,9,Femenino,Undergraduate,12.0,Básico,32468.88,84.0,4.69,3.79,1,591.98
447,13,Masculino,High School,9.0,Básico,20000.0,63.0,2.84,4.09,1,514.41
448,6,Masculino,Undergraduate,9.0,Básico,42178.98,63.0,2.34,3.05,1,771.08
449,11,Masculino,Undergraduate,18.0,Básico,67140.5,126.0,3.32,3.36,1,1168.39
450,17,Masculino,High School,18.0,Básico,24011.84,126.0,4.1,4.12,1,629.11
451,11,Masculino,High School,7.0,Básico,32295.75,49.0,3.68,3.74,1,614.71
452,5,Masculino,Undergraduate,32.0,Premium,53953.2,640.0,7.11,5.0,0,1729.73
453,9,Masculino,Graduate,9.0,Premium,88548.61,126.0,4.95,4.71,1,1646.31
454,10,Femenino,Graduate,13.0,Básico,29626.82,91.0,2.37,3.71,1,618.78
455,5,Femenino,High School,17.0,Básico,29045.99,119.0,3.1,3.4,1,521.71
456,14,Femenino,Graduate,24.0,Básico,55080.48,240.0,2.41,3.6,0,1048.31
457,13,Femenino,Undergraduate,2.0,Básico,68070.12,14.0,2.86,3.11,1,841.63
458,5,Masculino,Undergraduate,19.0,Premium,40638.52,380.0,6.1,5.0,0,1254.03
459,13,Femenino,Graduate,3.0,Básico,25679.09,21.0,3.65,3.41,1,484.33
460,4,Masculino,Graduate,10.0,Premium,56506.24,140.0,2.73,4.79,1,1247.04
461,11,Femenino,Graduate,14.0,Básico,59222.62,98.0,3.45,3.57,1,938.38
462,4,Femenino,Undergraduate,3.0,Básico,76679.83,21.0,2.03,3.51,1,953.55
463,12,Masculino,Undergraduate,23.0,Básico,59854.21,161.0,3.51,3.45,1,1128.01
464,14,Masculino,Graduate,12.0,Premium,62420.99,168.0,7.57,4.54,1,1345.31
465,9,Masculino,High School,18.0,Básico,46067.82,126.0,4.21,2.97,1,808.65
466,10,Masculino,Undergraduate,24.0,Familiar,86622.57,720.0,10.0,5.0,0,2221.83
467,16,Masculino,Undergraduate,34.0,Premium,44027.87,680.0,8.62,4.95,0,1654.89
468,13,Femenino,Undergraduate,23.0,Básico,40821.17,230.0,4.31,3.97,0,828.25
469,10,Masculino,High School,22.0,Básico,77142.72,220.0,2.96,4.1,0,1315.89
470,13,Masculino,High School,10.0,Básico,27886.44,70.0,2.9,3.36,1,568.38
471,6,Masculino,Graduate,13.0,Básico,22288.87,91.0,3.27,3.21,1,626.43
472,5,Femenino,High School,21.0,Premium,51793.35,294.0,5.6,4.12,1,916.26
473,12,Masculino,Undergraduate,9.0,Básico,49973.95,63.0,2.49,3.74,1,907.08
474,11,Femenino,High School,2.0,Básico,46581.68,14.0,3.14,4.32,1,626.2
475,16,Femenino,High School,28.0,Premium,64908.95,560.0,5.55,5.0,0,1313.18
476,15,Femenino,High School,5.0,Básico,36376.91,35.0,2.15,3.78,1,529.18
477,13,Masculino,High School,22.0,Básico,50962.51,220.0,4.16,4.15,0,1030.88
478,10,Masculino,Graduate,17.0,Básico,44598.41,119.0,2.72,4.39,1,1035.73
479,12,Masculino,High School,23.0,Básico,36631.72,230.0,4.85,4.14,0,883.42
480,7,Masculino,Graduate,22.0,Básico,49072.4,220.0,1.0,3.52,0,1170.68
481,16,Femenino,Undergraduate,9.0,Premium,62788.94,126.0,4.76,4.47,1,967.48
482,7,Femenino,Undergraduate,22.0,Premium,81808.52,440.0,4.75,4.05,0,1445.92
483,4,Femenino,Undergraduate,9.0,Básico,58691.28,63.0,3.4,3.34,1,808.69
484,11,Masculino,Undergraduate,20.0,Básico,20000.0,140.0,3.13,3.62,1,630.53
485,17,Femenino,Graduate,2.0,Básico,49427.9,14.0,3.44,3.72,1,749.78
486,17,Masculino,High School,24.0,Básico,50747.04,240.0,2.01,4.36,0,1062.26
487,15,Masculino,Undergraduate,23.0,Premium,64043.14,460.0,4.76,4.63,0,1611.52
488,6,Femenino,Graduate,26.0,Premium,52772.15,520.0,5.08,5.0,0,1401.54
489,10,Masculino,Graduate,22.0,Básico,68796.33,154.0,1.3,3.04,1,1312.23
490,15,Masculino,Graduate,16.0,Premium,55875.06,224.0,5.7,4.59,1,1336.05
491,5,Masculino,Undergraduate,13.0,Básico,73381.97,91.0,2.83,2.9,1,1173.62
492,5,Masculino,Graduate,13.0,Premium,43418.81,182.0,4.03,4.21,1,1090.99
493,10,Femenino,Undergraduate,1.0,Básico,52165.15,7.0,4.27,4.12,1,727.2
494,9,Femenino,Undergraduate,17.0,Básico,62399.62,119.0,3.82,3.77,1,922.11
495,6,Masculino,High School,12.0,Básico,41417.09,84.0,1.0,3.67,1,749.92
496,12,Masculino,Undergraduate,4.0,Básico,38149.81,28.0,1.87,3.46,1,705.07
497,13,Femenino,High School,21.0,Básico,40559.72,147.0,1.0,3.02,1,633.41
498,17,Masculino,Undergraduate,13.0,Básico,38761.77,91.0,2.35,4.54,1,854.06
499,16,Masculino,Graduate,9.0,Básico,57838.43,63.0,3.83,3.72,1,1092.12
500,9,Masculino,High School,7.0,Básico,22477.88,49.0,2.19,4.02,1,522.19
501,13,Femenino,High School,23.0,Básico,26660.45,161.0,3.33,3.46,1,540.76
502,13,Masculino,High School,24.0,Básico,77941.2,240.0,1.34,3.62,0,1320.65
503,9,Masculino,Graduate,5.0,Básico,39123.55,35.0,3.4,4.14,1,836.11
504,4,Femenino,Undergraduate,5.0,Básico,53000.22,35.0,1.71,3.45,1,729.96
505,7,Femenino,Undergraduate,17.0,Básico,27662.8,119.0,2.48,2.32,1,506.44
506,13,Masculino,Graduate,9.0,Básico,51411.86,63.0,2.77,3.56,1,997.01
507,9,Femenino,Graduate,6.0,Básico,39214.9,42.0,1.33,3.88,1,678.45
508,9,Masculino,Undergraduate,19.0,Básico,26553.66,133.0,1.45,3.55,1,697.19
509,14,Masculino,Undergraduate,16.0,Básico,70053.81,112.0,3.9,4.0,1,1225.36
510,15,Femenino,Graduate,21.0,Básico,67738.49,147.0,3.4,2.82,1,1042.54
511,8,Masculino,Undergraduate,2.0,Básico,48389.68,14.0,3.58,3.36,1,805.52
512,4,Femenino,High School,10.0,Básico,64991.29,70.0,2.59,3.72,1,815.5
513,11,Masculino,Graduate,21.0,Premium,78549.39,420.0,6.31,4.95,0,1918.18
514,8,Femenino,Undergraduate,10.0,Premium,61311.14,140.0,2.21,4.76,1,981.31
515,15,Masculino,High School,20.0,Premium,57195.2,400.0,6.09,4.7,0,1327.86
516,15,Femenino,Undergraduate,13.0,Básico,52984.25,91.0,2.97,3.8,1,802.61
517,15,Femenino,High School,13.0,Básico,59742.46,91.0,4.95,4.0,1,799.53
518,8,Masculino,High School,13.0,Básico,44541.21,91.0,3.22,3.15,1,763.34
519,10,Femenino,Graduate,20.0,Premium,45850.46,280.0,7.3,4.01,1,1014.16
520,7,Masculino,High School,14.0,Básico,56763.37,98.0,3.06,3.83,1,942.76
521,9,Femenino,Undergraduate,13.0,Premium,42892.03,182.0,3.83,4.55,1,829.97
522,16,Masculino,Undergraduate,11.0,Básico,44513.0,77.0,3.18,3.33,1,833.1
523,7,Femenino,High School,18.0,Básico,50002.8,126.0,2.7,2.73,1,686.32
524,17,Masculino,Graduate,24.0,Básico,67259.11,240.0,2.19,3.75,0,1452.36
525,6,Masculino,High School,4.0,Básico,33010.04,28.0,2.02,3.27,1,573.77
526,10,Femenino,Undergraduate,31.0,Premium,61387.68,620.0,4.69,4.81,0,1459.59
527,11,Femenino,Undergraduate,15.0,Premium,61876.95,300.0,7.51,5.0,0,1157.08
528,7,Femenino,High School,1.0,Básico,61787.18,7.0,1.0,2.13,1,658.2
529,16,Masculino,High School,5.0,Básico,37898.8,35.0,4.27,3.5,1,648.15
530,5,Femenino,Graduate,13.0,Básico,24609.78,91.0,1.4,3.17,1,535.5
531,15,Masculino,Graduate,6.0,Premium,58395.51,84.0,4.44,5.0,1,1211.7
532,13,Femenino,High School,23.0,Básico,52813.08,161.0,4.05,2.99,1,754.82
533,17,Femenino,Undergraduate,8.0,Básico,65065.65,56.0,3.87,4.74,1,934.27
534,6,Masculino,Graduate,3.0,Básico,39491.95,21.0,3.65,3.8,1,799.74
535,4,Masculino,Graduate,3.0,Básico,61401.78,21.0,3.07,3.57,1,1073.54
536,11,Femenino,Undergraduate,7.0,Básico,65816.18,49.0,4.79,3.86,1,891.14
537,6,Femenino,Undergraduate,4.0,Básico,48570.35,28.0,2.96,3.37,1,675.56
538,15,Femenino,Undergraduate,3.0,Básico,56253.94,21.0,2.84,4.09,1,780.3
539,13,Masculino,Graduate,15.0,Básico,55729.5,105.0,3.21,3.11,1,1079.33
540,10,Masculino,Graduate,8.0,Básico,37677.96,56.0,3.91,3.95,1,832.28
541,13,Masculino,High School,8.0,Premium,57966.45,112.0,5.13,4.49,1,1007.65
542,8,Masculino,Undergraduate,34.0,Premium,74337.48,680.0,4.82,4.3,0,1982.31
543,13,Masculino,Graduate,7.0,Básico,50333.06,49.0,2.56,4.8,1,1046.18
544,8,Masculino,Graduate,18.0,Básico,28086.13,126.0,1.0,3.41,1,762.09
545,17,Masculino,Graduate,11.0,Básico,39691.6,77.0,3.27,3.96,1,886.99
546,10,Femenino,Graduate,11.0,Básico,23308.56,77.0,1.0,3.77,1,538.41
547,12,Femenino,Undergraduate,17.0,Básico,69353.92,119.0,2.85,2.86,1,945.98
548,15,Femenino,Undergraduate,33.0,Premium,61461.58,660.0,6.8,5.0,0,1509.37
549,8,Femenino,Undergraduate,11.0,Premium,42479.46,154.0,4.08,3.51,1,746.6
550,4,Masculino,High School,8.0,Básico,28729.1,56.0,3.94,3.4,1,564.86
551,13,Masculino,Undergraduate,1.0,Básico,37500.58,7.0,1.41,3.05,1,646.86
552,13,Femenino,Graduate,34.0,Premium,40425.85,680.0,7.09,5.0,0,1441.0
553,4,Femenino,High School,10.0,Básico,51641.11,70.0,2.94,3.7,1,694.17
554,5,Masculino,Graduate,19.0,Básico,51136.39,133.0,1.0,3.12,1,1056.26
555,17,Masculino,Undergraduate,3.0,Básico,70121.48,21.0,5.84,4.16,1,1125.73
556,9,Femenino,Graduate,4.0,Básico,39608.68,28.0,2.54,3.02,1,621.0
557,12,Masculino,High School,11.0,Básico,27377.18,77.0,1.92,2.64,1,530.82
558,11,Femenino,High School,15.0,Básico,32645.32,105.0,1.33,3.63,1,551.59
559,16,Femenino,Undergraduate,6.0,Premium,49654.63,84.0,5.27,4.94,1,819.08
560,8,Masculino,High School,9.0,Básico,39069.83,63.0,2.41,4.27,1,734.11
561,4,Masculino,Graduate,11.0,Básico,45619.87,77.0,2.37,3.08,1,907.03
562,16,Femenino,Graduate,19.0,Básico,43189.5,133.0,2.77,3.9,1,820.7
563,10,Masculino,High School,13.0,Básico,64853.58,91.0,3.3,3.52,1,1006.99
564,8,Masculino,Undergraduate,31.0,Premium,41195.51,620.0,5.22,5.0,0,1551.17
565,9,Masculino,Undergraduate,21.0,Premium,44339.87,420.0,3.0,4.78,0,1334.11
566,16,Masculino,Undergraduate,9.0,Premium,60759.25,126.0,6.38,4.88,1,1182.98
567,10,Masculino,Graduate,1.0,Básico,41525.27,7.0,1.0,3.03,1,757.37
568,6,Masculino,Graduate,20.0,Básico,56348.19,140.0,2.75,4.03,1,1194.66
569,15,Masculino,Undergraduate,13.0,Básico,54972.28,91.0,2.02,3.73,1,1000.79
570,13,Femenino,Graduate,1.0,Básico,52126.49,7.0,3.03,3.26,1,746.77
571,6,Femenino,Undergraduate,5.0,Básico,32984.05,35.0,3.71,3.08,1,513.6
572,8,Femenino,Graduate,10.0,Premium,68446.61,140.0,3.38,4.31,1,1122.98
573,9,Masculino,Undergraduate,25.0,Familiar,83310.26,750.0,10.0,5.0,0,2218.05
574,12,Femenino,Graduate,23.0,Básico,50132.42,230.0,2.37,4.05,0,1008.34
575,16,Masculino,Graduate,14.0,Básico,34304.68,98.0,4.82,3.41,1,807.1
576,17,Masculino,High School,8.0,Básico,50436.54,56.0,2.77,2.97,1,779.74
577,15,Femenino,Graduate,9.0,Premium,64847.9,126.0,4.24,5.0,1,1106.44
578,8,Masculino,High School,7.0,Básico,40772.18,49.0,3.22,3.08,1,671.59
579,4,Femenino,Undergraduate,20.0,Básico,48066.51,140.0,1.83,3.62,1,793.69
580,17,Masculino,Undergraduate,19.0,Básico,55109.81,133.0,2.29,3.15,1,1018.35
581,17,Femenino,Graduate,20.0,Premium,68045.72,400.0,4.98,5.0,0,1436.89
582,17,Masculino,Graduate,22.0,Básico,61631.36,154.0,3.09,3.23,1,1230.16
583,7,Masculino,Graduate,4.0,Básico,62253.02,28.0,3.81,4.33,1,1144.71
584,8,Masculino,Graduate,35.0,Premium,43605.97,700.0,2.9,4.44,0,1792.39
585,15,Masculino,Undergraduate,19.0,Básico,56028.78,133.0,3.02,3.73,1,1064.59
586,13,Masculino,Graduate,9.0,Básico,39170.55,63.0,3.49,2.71,1,779.28
587,13,Masculino,Undergraduate,21.0,Básico,62682.89,147.0,3.06,2.51,1,1088.22
588,8,Masculino,Undergraduate,13.0,Básico,67268.29,91.0,3.84,3.66,1,1145.39
589,10,Masculino,High School,19.0,Premium,58300.45,266.0,5.89,4.83,1,1199.82
590,7,Femenino,Graduate,28.0,Premium,44488.84,560.0,4.42,4.1,0,1306.83
591,4,Masculino,Graduate,14.0,Básico,46944.09,98.0,2.86,3.03,1,948.83
592,17,Masculino,Undergraduate,27.0,Premium,77097.74,540.0,6.85,5.0,0,1888.78
593,17,Masculino,High School,10.0,Básico,44739.34,70.0,2.74,3.83,1,779.78
594,8,Femenino,Graduate,16.0,Básico,65749.91,112.0,3.05,3.54,1,1022.27
595,10,Masculino,High School,5.0,Básico,55083.37,35.0,2.01,3.79,1,853.03
596,13,Femenino,Graduate,23.0,Básico,44987.95,161.0,2.26,2.86,1,814.41
597,13,Masculino,Graduate,6.0,Básico,29830.26,42.0,2.34,3.29,1,666.32
598,9,Femenino,Undergraduate,31.0,Premium,53174.01,620.0,6.93,5.0,0,1387.72
599,8,Masculino,High School,7.0,Premium,51366.51,98.0,1.0,4.15,1,901.21
600,7,Masculino,Graduate,13.0,Básico,77098.02,91.0,2.86,3.64,1,1377.76
601,5,Femenino,Graduate,13.0,Básico,37097.11,91.0,2.37,4.63,1,748.76
602,7,Masculino,Undergraduate,30.0,Familiar,84421.53,900.0,4.64,4.54,0,2385.41
603,13,Femenino,Graduate,23.0,Premium,55682.16,460.0,5.76,5.0,0,1368.17
604,13,Masculino,High School,33.0,Premium,55667.44,660.0,7.01,5.0,0,1613.34
