CLIENTE,COMBINADO,INGRESO
927,"no le funcionan teclas  flecha para abajo  fn    z  fn  ctrl eliminador windows 
gb ram
intel celeron b
con pin
presenta invasion de hormigas
posible derrame de liquido

teclado  n
mantenimiento   iva

total ",1736.0
363,"no jala las hojas   mantenimiento muy profundo ivaa
tapa trasera no tenemos  y reparacion
reparacion de traccion de papel traia papel y un clip ivaa
posibles cartuchos

total iva",1520.0
6,reset y almohadillas   reset y cambio de almohadillas ivaincluye servicio de transporteaceptado,550.0
127,"no detecta la red wifi en la barrita no aparce para buscar y conectrase a la red   procesador amd aghz gbram tb dd
se reviso sistema la tarjeta wifi no funciona posible solucion wifi usb o reemplazo de la tarjeta de red

terjeta de red wifi interna  netono aceptada
tarjeta de wifi externa  mbps  netoaceptada",1400.0
199,"esta barrida la perilla   perilla quebrada 

perilla nueva ivaaceptada",299.0
5,"atora hojas  no las jala scables mantenimiento preventivo muy suciaivaaceptado

no  trae la bandeja trasera hueso  y reparacion de patita ivano aceptado

si tiene la bandeja y la traen ivaaceptado

esta proximo a pedir cambio de almohadillas y reset ivano aceptado",1310.0
603,"no deja de girar la margarita cmatgarita y cinta servicio de mantenimiento y ajustes ivaaceptado
cable de energia  netoaceptado

cintas    netoaceptado pendiente de entregar las  cintas se le habia entregado  pero estaba seca",1103.0
55,no jala las hojas   rep de la traccion de papel iva,180.0
500,bateria rev general   bateria ivaaceptado,480.0
947,revision general   bateria v ah y servicio ivaaceptado,490.0
724,"no imprime bien   destapado de cabezal iva


no destapo se regresa sin reparacion

le queda poca tinta color magenta

incosteable",480.0
383,"atora las hojas y rev general   reparacion de la traccion de papel ivaaceptado

ojo en un futuro va pedir cambio de almohadillas

observacon en windows  tarda mucho tiempo en imprimir",350.0
947,rev general   cambio de bateria v ah ivaa,480.0
297,"revision general scables ccartucho mantenimiento ivaa
rodillo de presio consideracion  neto a
goma y pat  netoa",1625.0
947,rev general   cambio de bateria v ah ivaa,480.0
907,"se atora el carro   mantenimiento ivaaceptado

cable flex  neto validar funcionamiento

solo requirio de mantenimiento",930.0
954,rev general   daada tarjeta logica y cable flex ivaa,1990.0
955,"jala dos hojas si requiere toner ponercelo   reparacion de electroiman y mantenimiento iva

toner  generico  netoaceptado

total sfact  aceptado",1724.0
742,"ver si sele puede ampliar la memoria y disco duro   se puede crecer hasta gb ram tiene  modulos de gb y trae solo  modulo de gb libre otro modulo para ponerle gb se puede poner dd solido de  o  gb
trae gb de ram ddr  ivaaceptado
celeronghz
wind  
dd gb
dds gb iva csistemaaceptado
dd mec tb iva csistema
total iva",16070.0
77,"filmina daada   cambio de filmina neto
cambio de goma neto
bue mant iva


ojo se tiene que validar funcionamiento",1250.0
157,negro no imprime puro magenta   destapado de cabezal ivaaceptado,480.0
12,"le instalaron la impresora samsung m  y le dice que no hay conexion y dice que hay un error  y el cursorcambia de posicion sin hacer la orden refisar memoria y ver si se puede actualizar windows con eliminador instalacion de impresora iva
office iva

total iva",500.0
943,"se atoro una hoja y arroja mensaje de error al  imprimir scables esta imprimiendo bien no presenta problema checar diver de impresora checar cola de impresion y eliminar trabajos

el cabezal cyan comienza a taparce destapado de cabezal ivaaceptado",480.0
957,actualizarla y validar la camara   camara web y microfono daado vienen en una tarjeta nolos detecta la computadora ni el driver solo se le hizo acatualizacion ,150.0
33,no prende cable de energia y eliminador base y tornillos afuera easy reparacion de corto en la tarjeta madre iva,700.0
264,"windowa y office checar autocad  con eliminador activacion de office y windows iva

el autocad trabaja bien no se actualizo al ",2179.0
900,"prende aparece mensaje de error f  no deja imprimir sacar copia scables se da limpieza a sensor de transferencia ivaaceptado

si continua con el problema se tendria que cambiar el sensor no se vende solo por lo tanto tendria que hacerse cambio completo de la banda de transferencia

seria incosteable",340.0
297,"rev general   mantenimiento iva
goma de bandeja   neto
cambio de fusor completo  neto
tapa de adf daada no reparableya no fincionaria adf

no autorizado",1345.0
38,si prende bo da imagen   lampara daada ivaaceptado,650.0
41,"no carga  revisar centro de carga ccable y cuadro posible corto en tarjeta madre el jack de energia si recibe energia

corto grande en tarjeta madre ivaaceptado",600.0
142,"revgeneral   cambio de fuson completo  neto te  a  dias habiles despues del pago

reparacion de tapa traceray mantenimiento iva

cambio de filmina
serv de mantenimiento
falta de resorte en fundido y tapa trasera

observacion
charola de papel daada no hay de hueso para cambio
no se puede validar funcionamiento",1030.0
551,"teclado daado bisgras daadas instalacion de office celiminado completo hay que soldar marco izquierdo teclado la letra j no funciona las demas si se reactivo office

teclado ivaaceptado
bisagras ivano aceptado
activacion de office ivaaceptado

total iva

pago  y  restan 
se entrega equipo",2730.0
142,"atora las hojas y mancha   no se detecta manchas

cambio de goma de arrastre reparacion de traccion de papel  neto te  a  dias habilesaceptada

mantenimiento ivaaceptada",700.0
551,"actualizacion de windows trae el windows xp celiminador si se quiere actualizar windows a  necesita subirle la memoria trae gb ddr mhz y soporta gb trae un solo slot

memoria ivano aceptado
formate cresp ivano aceptado

total iva

se entrega sin reparacion",2660.0
142,la banda rechina ccable energia daada tarjeta del rebobinador solo hay usada esta trabajando bien  neto  meses de garantiaa,800.0
963,instalacion de office y antivirus   instalacion de office ,150.0
927,"no cargael jack de energia esta flojo scables eliminador daado

corto iva",200.0
947,no prende   cambio de bateria v ah ivaaceptado,480.0
947,"base de hojas quebrada  no imprime bien  no sale completo scables limpieza si funciono bien tratar de tener bien los drivers

mantenimiento preventivo ivaaceptado",350.0
793,"prende y apaga y no entra al sistema   se le hizo el hard reset y con eso ya no se reinicia

si trai info se le borro no habia otra opcion

iva

no paso por ella durante un ao se fue a la basura electronica",200.0
327,hace mucho  ruido   cambio de resistencia  netoaceptado,120.0
213,activacion de autocad y sale un alerta en el antivirus   se le reinstalo el autocad  sin costo,2017.0
41,"pantalla estrellada cristal es touch parpadea celiminador se puede retirar la pantalla y quedaria sin marco corre el riesgo de que se dae la pantalla
solo pantalla sin touch
nueva iva
usada iva
retirar el touch ivaaceptado

validar comenta cliente que se esta reiniciandono se presento el problema se revisio disco duro y esta bien",4550.0
879,"tiene una raya y los colores no se ven parejitos   la linea que esta a la mitad de la pantalla quedaria asi

sobre el problema que no se ven los colors parejos estan daados varios circuitos es muy probable que no quede 
cambio de circuitos iva

no recomendamos invertirle incosteable",500.0
960,"mancha la holas scables requiere cambio de unidad de imagen l  pno aceptado
u alto rend  paceptado

mantenimento ivaaceptado

cambio de pad  netoaceptado

total  sfact
contador",4168.0
960,"tiene programas que ya no le interesan solo le interesa tener los programas basicos de office respaldar informacion scables formateo con respaldo ivaaceptado


se facturo un monitor samsung y un cable de red mts",450.0
512,"tiene floja la entrada de red scables considerar cambio de goma  netoaceptado
resoldar puerto usb iva entra en mtto
mantenimiento  ivaaceptado",850.0
12,instalacion de office celiminador iva,150.0
77,imprime con rayas scables destapado de cabezal ivaaceptado,480.0
746,respaldar informacion y checar antivirus scables instalacion de antivirus y desinfeccion de equipo iva,350.0
962,"  scables equipo presenta varios errores 

error de motor
no imprime
solicita reset despues de cada accion
se detecta cable flex con posible dao
lo mas probable el dao en tarjeta logica

cotizar equipo nuevo
no pasaron a recoger el equipo despues de  meses",53.9
276,"se apaga   cambio de  baterias vol  ah

ivaacept",960.0
548,"marca almohadillas   reset ivaaceptado 
almohadillas ivaaceptado
destapado de cabezal ivaaceptado


total iva",1760.0
108,"ya no  da video y trae procesador amd con eliminador y cable de energia trabajar tarjeta de video iva
recuperacion de sistema operatico iva

total iva

este trabajo no tiene garantia ya que solo permite realizarlo  vez",1560.0
939,"no funciona la usb ni la camara el wifi  en caso de formateo hacer respaldo con eliminador muy lenta se recomienda formatear ivaaceptado
licencia antivirus anual ivaaceptado

caracteristicas 
intel pentium 
ram gb
x
windows 
hdd de gb",1516.0
51,"  celiminador rodillo de impresion  netoaceptado

mantnimiento y ensamble de piezas quebradas ivaaceptado

carcasa iva  acep",2950.0
965,no lee los cd con cables y control mantenimiento ivaa,250.0
969,"no jala la hoja scables se cambio pad y goma de arrastre en garantia se fue el  

se le hizo cambio de termisores del fusor

regreso con error el ",4040.0
933,bisagras daadas   reparacion de bisagras ,800.0
979,"revisar si se puede incrementar memoria celiminador completo disco duro lleno kb disponibles
se recomienda  antivirus ivaaceptado
actualizacion de windows aceptado 

cotizar memoria gb ram ddr 
cotizar memoria gb ram ddr ",2260.0
297,"al sacar copia la lampara del escaner se queda a la mitad no recorre hasta el punto de inicio no es siempre pero ultimamente es mas constante scables destapado de cabezal iva

la falla del escaner no la presento sacamos  copias puedes ser cuestion de sofware o problemas de comucacion con el equipo",480.0
212,se traba al sumar varias cantidades y marca error   mantenimiento y reparacion de impresor ivaa,270.0
888,"quitarle windows y ponerle el de mac c eliminador

password user iva",500.0
907,"se traba el carro y prenden los focos en alerta   cinta mala
cambio de motor ivaaceptado

comentar que traia aceite nuevamente no mucho pero tenia  no ponerle aceite por que perjudica al equipo

tarjeta logica comienza a daarsedesface en la impresion puede comenzar a perder datos",200.0
973,daada del jack de energia y trae bisagras quebradas eliminador con cable de energia ivaaceptado,700.0
363,"saca manchas en la impresion   rodillo de presion daado ivano aceptado
servicio de mantenimiento ivaaceptado
no se detecta problema de adf

fusor completo  netoservicio de mant se corrige el detalle de la lamina de scaner garantia  mese por defecto de fabrica",1997.0
159,"jala la primer hoja normal y la segunda tarda en jalarla scables cartucho bajo pide cambio a  netono aceptado
goma de arrastredesgastada  netoaceptado
mantenimiento ivaaceptado",1093.0
26,esta atorada la cinta   rep impresor mantenimiento ivaa,270.0
497,"ya no arranca pantalla obscura   disco duro daado 

seminuevo de gb neto

disco duro nuevo tb neto  a",3960.0
269,prende foco rojo y pita al encender   reeplazar bateria v a es especial iva,960.0
974,"respaldo y eliminacin de programas qh   respaldo y formateo 
disco duro interno de  tb   neto
disco duro externo tb   neto",2800.0
985,"atora las hojas   mantenimiento ivaaceptado
cambio de goma  netoaceptado
no trae toner 

comentario si usa las hojas verdes o color seguido va a atorar",600.0
303,instalar programa que va con autocad scables iva,400.0
19,"no prende s cables
scontrasea cable de energia y mantenimiento iva

nos comento la clienta que prendia y se apagaba se va a revisar nuevamente y validar si se requiere antivirus en caso de que vuelva a presentar el mismo problema  de apagarce y prenderce es necesario cambiar el ventilador pero ya estuvimos trbajando con ella y ya no nos dio problema

antivirus trae uno gratuito pero se le recomienda ponerle una licencia original",585.0
71,no embona bien la cinta queda floja ctapa cinta corrector y margarita ahustes de carro y corrector ivaa,150.0
970,"saca una mancha las hojas   engranes de fusor  n
engranes de arrastre  n
filmina  n
rodillo de presion  n
serv mantenimiento iva
cambio de piezas mismo fusor  netoaceptado
remanufacturado otri fusor  neto
 dias garantia contra defecto de fabrica te  a  dias habiles
                 contador

poco tonerderrama toner",3864.8
976,"no saca el ticket   daada placa e impresora
al parecer se les derramo algun liquido  y estan muy oxidadas las piezas
 ivano aceptado


       se regresa sin reparacion

se aviso y no paso a recoger el equipo se va a la basura electronica despues de  meses",430.0
97,"jala las pero no imprime scables mantenimiento y destapado de cabezalez ivaaceptado

comentario pronto va a solicitar reset y cambio de almohadillas le restan aprox  mil impresiones",780.0
99,no tiene luz de fondo   daada la fuente de alimentacion y iluminacion led ivaaceptado,1300.0
99,"la bisagra izquierda no tiene movimiento del lado de la pantalla sin eliminador se acomodo bisagra

ya se puede abrir y voltear pero no puede quedar al  por qu ya est afectada la bisagra 

sera realizarle  cambio de bisagra pero no la hay",100.0
111,"marca el error f   error f sensor de banda transferencia
error f bandeja

mantenimiento a sensor de banda de transferencia ivaaceptado



contador",16932.0
907,"se atora el carro ccinta mantenimiento   iva a
mascarilla  neto  a
guia de papel  neto  a
cable flex  netoa
tarjeta logica ivaa",2130.0
55,"imprime con manchas en las orillas ccables no se presenta problema mencionado 

requiere servicio de mantenimiento muy sucia ivaaceptado

cambio de toner ya lo solicita el equipo toner a  neto genericono aceptado",828.0
303,activacion de office  seliminador activacion de office ivaa,80.0
55,no imprime color el color negro ccables destapado de cabezal ivaaceptado,480.0
98,"no toma las hojas en las bandeja abajo comenzo a oler a quemadomantenimiento scables buen mantenimiento  iva
goma manual  neto
goma bandeja  iva               no se acpto nada
rep electroiman iva
pide cambio de toner  neto

total sfact 
total cfact 
total stoner ",3141.6000000000004
111,"rodillo de presion muy daado no tiene toner   rodillo de presion  neto
filmina metalica  neto
rotacion de goma y cambio de pat  neto
mantenimiento iva

total sfact 
total cfact 

no aceptado se regresa sin reparacion",3067.8
38,"marca un codigo de error   engrane del fusor  netoa
rodillo de presion  netoa
mant iva


contador ",1477.99
26,rev general ccinta primeramente mantenimiento ivaa,480.0
99,no respalda   bateria v ah y servicio ivaa,480.0
38,"revisar jack de energia y bocina seliminador centro de craga iva
necesita prender para validar bocina

se escucha bajito pero es por el tipo de bocina que lleva la tablet",350.0
121,"no sirve teclado sin eliminador cambio de teclado  netoaceptado
activacion de office ivaaceptado",1280.0
971,"hace ruido del lado derecho   engranes de fusor  n
engranes de arrastre  n
filmina  n
rodillo de presion  n
resistencia  n
serv mantenimiento iva
cambio de piezas mismo fusor  neto
remanufacturado otri fusor  neto
 dias garantia contra defecto de fabrica te  a  dias habiles",5130.0
966,imprime con rayas  revisar cabezal scables ccartuchos destapado de cabezal ivaaceptado,480.0
99,no respalda   bateria v ah y servicio ivaa,480.0
121,"bisagras daadas celiminador scable energia
rev general teclado faltan  tornillos bisagras daadas yoga  ivaaceptado

cambio de teclado  netoaceptado

cable flex pantalla  netoaceptado

no funcionan todas las teclas cambiar teclado",2003.0
538,no agarra las hojas utilizan hojas gruesas   servicio de mantenimiento y ajustes ivaaceptado,480.0
99,"no imprime los colores scables destapado de cabezal ivaaceptado
mantenimiento muy sucia ivaaceptado

total iva

cabezal negro daado
  se regresa sin reparacion

          sin costo",1720.0
587,"al mandar la impresion manda leyenda de que las almohadillas llegaron a su vida util scables primeramente
reset ivaa
cambio de almohadillas ivaa
total ivaa

despues validar impresion y ver si requiere de algo mas",900.0
46,"no prende celiminador scable de energia reparacion de corto en la tarjet aiva


se regreso sin reparacion",350.0
724,marca cambio de almohadillas   cambio de almohadillas y reset iva te  a  dias no aceptado,400.0
992,cuandeo se acaba la tinta pide tinta lo reyena y no quiere imprimir   cambio de almohadillas y reset ivaaceptado,430.0
363,formateo con respaldo scables iva,450.0
968,esta tapado el cabezal   reset destapado de cabelzales  y camibio de almohadillas  iva,730.0
993,prende pero no entra al sistema scargador reemplazo de tarjeta logica ivaa,600.0
363,isntalacion de office celiminador iva,150.0
50,"marca error como si trajera atasco de papel pero no tiene nada atascado   se retira atasco y se realizan pruebas al equipo 
mantenimiento ivaa

filmina tiene  o  de vida util",480.0
882,"no jala las hojasrevision general scables reparacion de la traccion de papel ivaa
sin imprimir cartuchos tapados",350.0
50,"servicio de manteniimiento  se traba el disco por el polvo scables no estaba conectado el dvddisco
mantenimeinto ivaa",250.0
373,"derrame de tinta   cambio de  damper ivaa
mantenimiento ivaa
cambio de almohadillas ivaa

total  neto

cabezal negro daado se regresa sin reparacion",2294.0
269,"revision y cotizacion   equipo muy ocxidado
cambio de clavija cable de energia y bateria ivano acep",600.0
943,se traban las teclas ccinta servicio mantenimiento y ajustes ivaa,580.0
984,bateria inflada scables ivaaceptado,750.0
882,"atora las hojas scables no presento la falla mencionada

mantenimiento ivaaceptado
goma  netoaceptado",860.0
199,"esta muy lenta revisar que se puede hacer para mejor rendimiento scables intel pentium dual core gb ram ddr  mhz gb dd

equipo obsoleto inactualizable

recomendar ensamble nuevo
tarjeta madre daada

se cotizo un equipo nuevo

se regresa sin reparacion",1050.0
289,"pita cuando se le conecta algo   circuito daado

no lo hay

se ofrecio uno seminuevo bx llm la diferencia es de iva",1066.0
882,"al imprimir sale la hoja sucia sale con una linea en medio a las orillas scables no presento la falla
requiere cambio de cartucho mal estado 

mantenimiento ivaaceptado",580.0
543,"tiene un empaque atorado scables cambio de cartucho derramando
engrane de arrastre  neto el par
filmina cal original  neto
mantenimiento iva

rodillo de presion  vida util 

total  sfact
total  cfact",1666.8
748,imprime columnas si y columnas no scables con cartucho amarillo y negro destapado de cabezal ivaaceptado,380.0
971,"revisar si se puede hacer una sola con la otra impresora que tienen aqui scables cartucho mala calidad y casi agotado 
rodillo de presion   de vida util
mantenimiento ivaaceptado
pad separador  netoaceptado
filmina  netoaceptado
engranes de fusor  netoaceptado
engranes de arrastre  netoaceptado
rep de selenoide en mantenimiento

total  neto",3454.8
51,"mantenimiento y rev general   mantenieminto ivaa
cambio de cartucho esta derramando  netoa",660.0
1000,"necnon  revision de base
vorago  revisar ase
elegate  revisar base   todas las bases funcionan
el cable de alimentacion es el que no funciona
 cable usb machomacho cu  iva  a
 mtto   iva  a

total   iva",420.0
587,no imprime al momento de realizar destapado tiene falla en los engranes no esta imprimiendo de computadora conectada por red sin cables cabezal obstruido quitar obstruccion y destapado de cabezal ivaa,580.0
20,revicion general   bateria v ah ivaa,380.0
55,"trae una hoja atorada mancha las hojasse acaba muy rapido el toner trae toner nuevo pza suelta scables unidad de imagen generica  neto
cambio de toner esta derramando y marca nivel bajo  neto

buen mantenimiento iva
cambio de goma  neto

",1900.0
6,no toma bien las hojas y mantenimiento   mantenimiento y ajustes ivaaceptado,580.0
977,"checar de virus y poner office funda eliminador con cabre de energia activacion de office ivaaceptado
antivirus ivaaceptado",480.0
928,"cargar sistemas
antivirus 
microsoft
lo basico
contrasea  eliminador antivirus    iva
microsoft  ins office    iva
lo basico  acrobat reader  actualizaciones windows    iva

total    iva  a

windows  home
gb ram gb 
 tb disco duro
intel core i  gen
sistema actualizado 
antivirus y office activado",2466.0
980,"no funciona la tecla de espacio ni el touch pad celiminador completo primeramente se tendria que realizar reprogramacion de bios ivaaceptado

posterior mente validar teclado y touchpad

se intento realizar la reprogramacion del bios pero no quedo esta daada la tarjeta madre y no tiene reparacion

        se regresa sin reparacion incosteable",1200.0
182,no respalda cuando se va la luz ccaja cambio de bateria v ah ivaaceptado,450.0
99,"no jala el papel revisar si de la otra impresora pw puede hacerse una scables buen mantenimiento ivaaceptado
cambio de goma  netoaceptado

total  sfactura",1140.0
26,"quebrada bandeja trasera del papel mantenimiento scables mantenimiento de cabezal equipo y reparacion de bandeja iva

cambio de almohadillas iva

total iva",1560.0
98,"solicita kit de mantenimiento nivel bajo y revision completa scables se borra alerta de kit de mantenimiento 

requiere mantenimiento ivaaceptado
cambio de kit de  gomas  netoaceptado",1060.0
674,"se puso la pntalla azul se le quito la memoria ram y prendio pero esta lenta revisar memoria ram  en caso de formateo sin respaldo celiminador completo y memoria ram suelta trae  slot de memoria ram  slot esta daado no se puede reparar ni reemplazar ya que se puede daar la tarjeta madre
soporta maximo gb ram
memoria de gb iva
memoria de gb ivaaceptado
formateo sin respaldo aceptado
trae core i a ghz gb de ram dd gb windows  home
ojo la memoria ram no la acepto la maquina queda con win  original y gb de memoria ram",3300.0
20,rev general   cambio de  baterias v ah ivaa,960.0
978,"checar funcionamiento y posiblemente baterias base y eliminador bateria recargable y servicio ivaaceptado


despues de  meses se  quedo en asisa",300.0
998,"esta presentanto un codigo de error   no viene con tornillos completo
cambio de fusor
goma de arrastre desgastada no sabemos si su funcion esta bien
engrane de fusor se esta empezando a barrer
no checamos su funcionamiento el error que arroja es 
 tarjeta logica daada incosteable
        se regresa sin reparacion",2167.0
981,"mantenimiento  no da falla scables destapado de cabezales
mantenimiento preventivo   iva  a",480.0
269,"no da imagen  comenta el cliente que tiene la pantalla adaptada celiminador sistema operativo daado quizas dd por que no lo detecta bien 

pantalla daada 
dd tb  neto
carga de sistema 
memoria ram 

   incosteable   se regreso sin reparacion",4150.0
351,"no entra al sistema   mantenimiento ivaa
cambio de fuente ivaa
licencia kaspersky ivaa
serv transporte ivaa
total iva

pentium  a ghz gb ram win  ultimate dd gb tarjeta de video rodeun",3040.0
986,"no prende y se le escucha algo adentro   reparacion del scanner botonivs
bsteriaiva

total con iva ",945.0
63,"mantenimiento preventivo
area de adf atora hojas    toner bajo y con rayas en la unidad de imagen el cliente se lo va a poner
 gomas   neto  a
 kit de engranes de fusor  piezas   neto  a
 mantenimiento    iva  a

total sfactura ",2560.0
99,pantalla daada con eliminador cambio de pantalla iva  meses de garantia contra defecto de fabrica disponible  piezaaceptado,380.0
1001,"se apaga despues de un rato seliminador reemplazo tarjeta madre

tarjeta madre     ",4800.0
55,"se le cayeron piezas donde se coloca la hoja ns rc  y unas cintillas
trae hoja atorada   cambio de filmina  netoa
mantenimiento ivaa

primeramente se tendria que cambiar la filmina y el mantenimiento para validar el funcionamiento del equipo y ver si requiere algo mas

total  ",2842.8
939,no reconoce los puertos  usb  ni la camara con eliminador driver se requirio actualizar ivaa,120.0
998,"revision general scables requiere de cambios de cartuchos ya estan secos  cada uno negro y color  hp

requiere mantenimiento esta muy sucia y no jala bien la hoja en ocasiones ivaa",1274.0
193,"no detecta el wiffi seliminador se desinstalo  e instlado driver de wifi
se bajaron muchas actualizaciones de windows 
iva

ojo
si llegara a dar problema otra vez aplicar garantia",150.0
156,"no toma las  hojas y las mancha   mantenimiento  ivaa
goma  netoa
toner  netoa",870.0
457,"no prende les daba olor a quemado   primeramente requiere mantenimiento preventivo esta muy sucia y los ventiladores casi no giran ivaa

 ventiladores iva cu

total iva",740.0
104,"cambio de almohadillas y revision general scables primeramente reste y cambio de almohadillas ivaaceptado
despues validar impresion",400.0
275,"cuando imprime salen lineas  rodillo no deja de girar sin cables mantenimiento
engrane de fusor se empieza a barrer
fusor en buen estado

se hicieron pruebas de la falla de las lineas en la hoja de impresion y no la present el rodillo funcion de forma normal

kit de mov de fusor  neto  a
servicio   iva  a

total  ",1300.0
982,"contrasea javier esta muy lenta no le deja abrir las fotografias en ocasiones si en ocasiones no con eliminador y cable de energia tenia tapa de bisagra sin tornillo se le puso uno y se corrige problema sin costo
tiene  antivirus gratuitos instaladosno es bueno
depurar basura electonica y temporales de internet
se puso otro visor de imagenes ivaaceptado

se recomienta licencia de antivirus kaspersky intenet securiti anual ivaaceptado

total iva

dd gb
amd a ghz
win  home
gb ram",2160.0
327,"prende foco azul pero no da imagen   revision asisa  no da video

reparacion fuente daada y cambio de led    ivaa",650.0
907,"cambiar tarjeta logica pierde datos ccinta cambio de cable flex  netoaceptado
cambio de carro  netoaceptado

total  neto",1600.0
999,"de estar trabajando se traba y se pone la pantalla azul celiminador completo windows daado  se pudo recuperar so

conseguir contrasea
borbachob contrasea acceso

costo de recuperacion de contrasea de windows a
 ofrecer opcion en caso que no recuerde contrasea

total iva  ",3415.0
500,no respalda y se apaga   bateria  v ah ivaaceptado,480.0
26,"no jala las hojas urge scinta un buen mantenimiento muy sucia iva
cable flex   neto
cambio de carro iva",1350.0
744,"no trae antivirus checar office  al querer instalar jitsi meet y zoom marca que no esta actualizado con eliminador y cable de energia activacion de windows y office ivaaceptado
licencia de antivirus kaspersky ivaaceptado",690.0
26,rev general   primeramente mantenimiento ivaa,480.0
724,"se trabo ya no prende scables mantenimiento muy sucia ivaaceptada
tarjeta madre daada ivaaceptada
procesador ivaaceptado

total iva",1600.0
941,"se reporta dao en sistema operativo stornillos celiminador completo disco duro en riesgo

disco solido de  gb   iva  a
carga de sistema operativo   iva  a

total   iva  a",3000.0
98,"imprimiendo salio un pedacito y a partir de ahi se atora   filmina metalica ivaa
mantenimiento ivaa
kit  gomas  netoa
te  a  dias 

total  neto",2342.56
33,se ve color verde gaby huerta se conecto y si se ve bien es su cable vga que esta daado  neto,150.0
326,no prende   reparacion de la fuente iva,560.0
33,no da video scables bien seguro reparacion de la fuente iva,480.0
989,"esta lenta formateo con respaldo y revisar  antivirus celiminador dd gb  celeron  ghx ram  win  pro  bits  gb ram ddr soprta hasta gb ram
recomendable ponerle gb ramddr  solo  slot  neto mas servicio ivano aceptado
antivirus kaspersky ivaaceptado
formateo ivaaceptado bajar a win  y tronar programa de autocad 

total  sfact",8847.0
500,no respalda   cambio de  baterias v ah ivaa,960.0
33,"no jala las hojas scables cambio de goma rliva
servicio de mante iva

total iva",3037.0
33,"no da video con eliminador y cable de energia gaby bs pantalla daada activacion de windows  neto

amd a a ghz gb ram dd gb win  pro",620.0
33,"no da video con eliminador y cablejavier marroquin pantalla daada falta activar windows  netoa

amd a a ghz gb ram dd gb win  home",1130.0
990,"con eliminador y cable de energia checar el eliminador si sirve y las usb de al lado tienen falso contacto   mantenimiento de hadware ivaaceptado

su eliminador esta funcionando bien",250.0
987,"no prende celiminador completo core i ghz  gb ram  wind  pro  dd gb

enciende y entra a windows sin problema
licencia de antivirus nod caducada
se recomienta incrementar memoria ram y poner licencia antivirus
memoria de gb ivaaceptado
licencia kaspersky ivaaceptado

total iva",2520.0
873,"brinca la imagen despues de un rato celiminador completo
sin contrasea problemas con el touch a raiz de un golpe muy pobablemente 

se reconect antena de wifi 

total  neto",864.0
980,instalacion de office celiminador y funda instalacion de office iva,150.0
983,"no enciende celiminador completo corto en tarjeta madre ivaa

cambio de tarjeta madre no la hay
sin reparacion",2700.0
207,"no corta bien el papel   engrane de cuchilla quebrado 
kit de ensamble de cuchillas de corte  netoa tiempo de entrega de  a  semanas sobre pedido pago anticipado no hay cancelaciones ni devoluciones

mantenimiento ivaaceptado

si solo requiere cambio de la pieza el costo es de iva",1290.0
26,"no imprime adecuadamente   destapado de cabezal ivaa

no se pudo destapar se regresa sin reparacion",480.0
26,"no imprime   requiere cambio de unidad de imagen dr  neto
cambio de toner a consideracion tn   neto
reset por eso no permitia imprimir   iva

se realizo el reset para poder diagnosticar  pendiente ver si se cobra iva",3410.0
127,"se actualizo y perdio conexion wifi se restauro a la actualizacion anterior y se pueso la pantalla azul celiminador restauracion de windows iva si no queda se tendra que formatear si le interesa la informacion

formateo crespaldo ivaa

mantenimiento ivaa

total iva",1760.0
971,"no toma las hojas   cambio de goma  netoa
mantenimiento ivaa
filmina  de vida util aprox  netoa

total  neto",1220.8
823,"disco duro daado   su dvr trae ddh tg
disco duro tb  neto
mantenimiento y servicio iva",3165.0
26,"tarda en imprimir  la tapa  del adf no la trae   no tarda en imprimir checar driver y cable usb
sugerimos mantenimiento muy sucia ivaa",480.0
971,"imprime con  lineas por mitad de la hoja scables cambio de kit de engranes del fusor  netoa
cambio de filmina  netoa
mantenimiento ivaa
requiere cambio de toner ya trae poco

total  neto",1880.0
199,"no hace respaldo   base de tornillo quebrada se reparo sin costo
bateria v a ah y servicio ivaa",480.0
26,servicio  no levanta la hoja de la charola   reparacion de traccion de papel iva,580.0
258,"revisar bateria   bateria original  ao de garantia  netoa

bateria generica eko  meses garantia  neto

eliminador v a ah  netoa

reparacion de centro de carga  netoa",4037.0
203,cambio de pantalla celiminador contrasea    cambio de pantalla  usada ivaa,1400.0
26,"marca error al imprimir  cotizar
error f   primeramente es quitar el error de la banda de transferencia
limpieza a sensores   ivano aceptado

trae detalle la banda de tranferencia no sabemos si al manipularlo corra riesgo de que se dae y como es una pieza muy costosa lo dejamos a su consideracion

      no aceptado se regresa sin reparacion",880.0
991,traspasar la informacion a lenovo tk   se puso respaldo a la lenovo que nos compro l sin costo,430.0
98,"marca que requiere cambio de kit de mantenimiento scables kit de gomas  netoa
reset y mantenimiento ivaa

total ",2050.8
933,"formatear con respaldo y configurar correo antivirus  instalarle office y  win  pro que es el original scables formateo con respaldo iva
soporte diverso team viewer iva",1130.0
994,"prende pero no imprime ni escanea   reset ivaa
cambio de almohadillas ivaa
destapado de cabezal ivaa

total iva",1820.0
83,"no esta imprimiendo adecuadamente y se atora   mantenimiento iva  a
goma  neto  a",600.0
98,"no jala hojas en la bandeja  solo manual scables cambio de kit de gomas  netoa
ensamble de arrastre de hojas  netoa
buen mantenimeinto ivaa

toner cfa generico  neto rend  pags",2652.0
33,"sale la hoja en negro llega con  tonersde gaf mantenimiento y rotacion de goma ivaa
cambio de pad ivaa

total iva

se entrego a pedro",1260.0
